Row	Free_fatty_acid	Growth
YCL035C	0.999979885636563	1
YCL038C	0.999941985480074	1
YCL040W	0.999979548895219	1
YCL050C	0.999912025609059	1
YCL052C	0.999979859611277	1
YCL064C	0.999979316522944	1
YCL069W	1	1
YCR005C	0.999994350436205	1
YCR010C	0.999938994052034	1
YCR012W	2.1613621685596	1
YCR024C	0.999999999999926	1
YCR024C-A	0.9999532946489	1
YCR028C	0.999945576201855	1
YCR034W	0.999963279174477	1
YCR036W	0.999979341792989	1
YCR037C	1	1
YCR048W	0.999979341745235	1
YCR053W	0	0
YCR075C	1	1
YCR083W	1.00079715992186	1
YCR098C	0.999938985174841	1
YCR105W	0.9999848830047	1
YDL004W	0.999884418306271	1
YDL015C	0.999984992271409	1
YDL022W	0.999939182367429	1
YDL042C	0.999994351520784	1
YDL045C	0.99993898736975	1
YDL052C	0.999979886391949	1
YDL055C	0	0
YDL066W	0.999938992743081	1
YDL067C	0.645302138218944	1
YDL080C	0.999979315768242	1
YDL085W	0.999921954383917	1
YDL090C	0.999938992742325	1
YDL093W	0.36254227509934	1
YDL095W	0.999945162296366	1
YDL100C	0.99993964916283	1
YDL103C	0.99993896605297	1
YDL131W	0	0
YDL141W	0	0
YDL142C	0.999938992742798	1
YDL168W	1.0039260095672	1
YDL171C	1.00546958824447	1
YDL174C	0.999939011197434	1
YDL178W	0.999939012439198	1
YDL182W	0.999994350436271	1
YDL185W	1.00308260466698	1
YDL198C	1.0007797734647	1
YDL205C	0	0
YDL210W	0.999994350436717	1
YDL215C	0.999994349079297	1
YDL238C	0.999938992742451	1
YDL245C	1	1
YDL247W	1	1
YDR001C	0.999979337437311	1
YDR007W	0	0
YDR017C	1.00713502318709	1
YDR019C	1.00314310655118	1
YDR023W	1.00000012136248	1
YDR035W	0.999995413546158	1
YDR037W	0	0
YDR044W	0	0
YDR046C	1	1
YDR047W	0	0
YDR050C	1.2666935551175	1
YDR058C	1.00000000000011	1
YDR062W	0.999939257951239	1
YDR072C	0.999994350436307	1
YDR074W	0	0
YDR098C	0.999994557545103	1
YDR127W	0	0
YDR135C	1.00079845188847	1
YDR147W	0.999979886391923	1
YDR148C	0.999979342548074	1
YDR158W	0	0
YDR173C	0.999945250437542	1
YDR178W	0.999938994051516	1
YDR191W	0.999994351520784	1
YDR196C	0.999939077272963	1
YDR204W	1.00398784009291	1
YDR208W	0.999938992742675	1
YDR226W	1.00309064375506	1
YDR232W	0	0
YDR234W	0	0
YDR236C	0.999947744151915	1
YDR256C	0.999994350436149	1
YDR261C	1.0000000007554	1
YDR268W	1.00000000000024	1
YDR272W	1.0114268243154	1
YDR284C	0.999938419612981	1
YDR287W	0.999941893023586	1
YDR294C	0.99999999999999	1
YDR297W	0.999938993654557	1
YDR298C	0.999884418306271	1
YDR300C	0.999765675355981	1
YDR302W	0.999994349390552	1
YDR305C	0.999945772606553	1
YDR315C	0.99993926419201	1
YDR321W	0.999979336419113	1
YDR322C-A	0.999878680070168	1
YDR341C	0	0
YDR342C	1	1
YDR343C	1	1
YDR345C	1	1
YDR353W	0	0
YDR354W	0	0
YDR367W	0.999938988281252	1
YDR368W	0.9999793157678	1
YDR373W	0.999945706858091	1
YDR376W	0.999942031049366	1
YDR377W	0.999884418306271	1
YDR380W	0.999994345062755	1
YDR384C	1	1
YDR399W	0.999938393589914	1
YDR400W	0.999940306892356	1
YDR402C	0.999994342376489	1
YDR403W	0.999978869629703	1
YDR408C	0	0
YDR428C	0.999939012439246	1
YDR453C	0.999939605335065	1
YDR454C	0	0
YDR481C	0.999979901954985	1
YDR483W	1.0000000007559	1
YDR487C	0	0
YDR497C	1	1
YDR502C	0.999994349408136	1
YDR503C	0.999978590875287	1
YDR508C	1	1
YDR513W	0.999939627469349	1
YDR529C	0.646982901178847	1
YDR530C	0.999938422163223	1
YDR531W	0.999938993654375	1
YDR536W	1	1
YEL006W	1	1
YEL017C-A	0.9999532946489	1
YEL021W	0	0
YEL024W	0.646982901178847	1
YEL027W	1.00308260466698	1
YEL029C	0.999945247762411	1
YEL038W	0.999994895051843	1
YEL039C	1.00308335109805	1
YEL041W	0.999979341792683	1
YEL042W	1.00000000000028	1
YEL046C	0.999732740168772	1
YEL047C	0.999945388713118	1
YEL051W	1.00308260466698	1
YEL058W	1.00079101494745	1
YEL063C	1	1
YEL069C	1	1
YEL071W	0.999989535719372	1
YER003C	0	0
YER005W	0.999939266958804	1
YER014W	0	0
YER015W	0.999939647921376	1
YER019W	0.999939096970054	1
YER023W	0	0
YER024W	0.999938992742671	1
YER026C	0	0
YER037W	0.999945265863732	1
YER043C	0	0
YER052C	0	0
YER053C	1	1
YER055C	0	0
YER056C	1	1
YER060W	1	1
YER060W-A	1	1
YER061C	1.00399038512639	1
YER062C	0.999939649163301	1
YER065C	0.999941887982266	1
YER069W	0	0
YER070W	0.999979341792337	1
YER073W	0.999938994051674	1
YER081W	0.9999793353905	1
