compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prodRate_ec	cFlux_l	cFlux_h	Pburden	CCMratio
L-valine	native	amino acid	117.14638	0.488744722175621	0.986348292966363	1.00000000000011	0.483767870863024	0.986348292966366	1	1.00000002574187	1.375	0.00777542542097923	0.364902995403782
ornithine	native	amino acid	133.169	0.488744722175434	0.96011017485392	435.111764705882	0.483767870863024	0.960110174853922	1.42696492968124	1.00000002574186	1.89587867382134	0.0701395142769686	0.308197828088321
4-hydroxymandelic	heterologous	aromatic	168.148	NaN	NaN	NaN	0.485872821926507	0.594577089265916	4.21272291633279	1.000001	11.5839277768874	0.0155397994113628	0.266661259024761
cinnamate	heterologous	aromatic	148.1586	NaN	NaN	NaN	0.483767870863023	0.539333767215424	4.35524824588558	1.000001	12.6898700300091	0.0137476351383231	0.307809654496027
mandelic acid	heterologous	aromatic	152.1473	NaN	NaN	NaN	0.485872821926511	0.562142986300846	3.08554412346131	1.000001	8.8352463395186	0.021268533027047	0.346815103732178
p-coumaric acid	heterologous	aromatic	164.0473	NaN	NaN	NaN	0.483767870863025	0.194697717792254	0.145980597280722	0.749779981786377	0.751446642521986	0.103616367932304	0.357072017212142
rosmarinate	heterologous	aromatic	360.31	NaN	NaN	NaN	0.483767870863021	0.138431840243655	0.13822196155123	0.998334090712003	1.248442750083	0.103616367932304	0.324729003201094
Salidroside	heterologous	aromatic	300.307	NaN	NaN	NaN	0.658510482641849	0.00140878113589784	0.000493736055589999	0.350470026374528	0.350740604083385	0.103616367932304	0.984932351746858
Tyrosol	heterologous	aromatic	138.164	NaN	NaN	NaN	0.658510482641855	0.00191756613660466	0.000670594953593413	0.349711162602113	0.35	0.103616367932304	0.985637934107179
vanillinbetaglucoside	heterologous	aromatic	314.29	NaN	NaN	NaN	0.483767870863025	0.00545944671494633	0.0019446195663654	0.356193168150548	0.357859504080727	0.103616367932304	0.972372015545024
beta-ionone	heterologous	aromatic	192.3	NaN	NaN	NaN	0.48376787086302	0.00317301677064223	0.00112915438621892	0.355861105907734	0.357527695908126	0.103616367932304	0.704700883480724
putrescine	native	bioamine	90.1674	0.488744722175434	0.960110174853921	424.398245614035	0.483767870863022	0.960110174853922	3.75028302794494	1.00000002574187	4.41280661360702	0.0271693722563746	0.27053666346791
spermine	native	bioamine	206.372	0.488744722175434	0.296044404008615	109.354362416107	0.483767870863024	0.296044404008627	0.516658736295438	1.000001	4.64992862665894	0.0861902026089783	0.375889499305738
ARA	heterologous	fatty acids and lipids	304.474	NaN	NaN	NaN	0.483767870863024	0.00116751242660477	0.000437847351982351	0.375025485089094	0.376690444831257	0.103616367932304	0.035673140912213
DHA	heterologous	fatty acids and lipids	328.488	NaN	NaN	NaN	0.483767870863024	0.000936819784044076	0.000363187601911192	0.387681008566854	0.389345323540379	0.103616367932304	0.0466564069163022
EPA	heterologous	fatty acids and lipids	302.451	NaN	NaN	NaN	0.483767870863022	0.000968977109047602	0.000363806655350039	0.375453958763758	0.377118754434218	0.103616367932304	0.0424072263456173
Free fatty acids	native	fatty acids and lipids	396.64836	NaN	NaN	NaN	0.483767870863022	0.0327871746214076	0.16194281380503	1.000001	12.9275585388573	0.0345320589283717	0.423385988946402
laurate	native	fatty acids and lipids	199.31	0.488744722175434	0.252522567499531	72.2462686567167	0.483767870863026	0.247695342936065	0.719824127849542	1.000001	9.3078113687943	0.103616367932304	0.1484135877473
oleate	native	fatty acids and lipids	282.4614	0.488744722175434	0.186212725055023	69.5896276595746	0.483767870863023	0.186212725055132	0.527569203422171	1.000001	7.77993294819562	0.0496332262659919	0.233990852349619
palmitoleate	native	fatty acids and lipids	253.40026	0.488744722175434	0.210676958274013	79.5793795620439	0.483767870863024	0.210676958274192	0.631648408619692	1.000001	8.24560510774615	0.0490264609830976	0.23466741384138
triacylglycerol	native	fatty acids and lipids	173.1003	NaN	NaN	NaN	0.483767870863023	2.75135776416552e-05	0.000119367787247806	1.000001	17.9669711009147	0.032817428986655	0.366142766473129
ergosterol	native	fatty acids and lipids	396.64836	0.488744722175434	0.0999695598930028	34.1711818181818	0.483767870863024	0.098226339651576	0.109573975423754	1.000001	1.77902726281812	0.103616367932304	0.0807588693494259
catechin	heterologous	flavonoid	290.26	NaN	NaN	NaN	0.483767870863021	0.00676396481463711	0.00249686474877941	0.369141815538645	0.370807206239828	0.103616367932304	0.92265496490252
genistein	heterologous	flavonoid	270.241	NaN	NaN	NaN	0.483767870863024	0.00465886424521216	0.00168703116750991	0.362111749062547	0.363777421201332	0.103616367932304	0.941017576001592
kaempferol	heterologous	flavonoid	286.23	NaN	NaN	NaN	0.483767870863025	0.00625953790199206	0.00229788228683272	0.367100579136864	0.3687660386758	0.103616367932304	0.92679431159148
naringenin	heterologous	flavonoid	272.257	NaN	NaN	NaN	0.483767870863026	0.00783133973623922	0.00291431871929128	0.372135024545887	0.373800269540878	0.103616367932304	0.911032641595075
quercetin	heterologous	flavonoid	302.236	NaN	NaN	NaN	0.483767870863023	0.00625929521222744	0.00229778839548678	0.367099812325467	0.368765271896475	0.103616367932304	0.926762133948772
3-hydroxypropanoate	heterologous	organic acid	90.08	NaN	NaN	NaN	0.485498320276755	1.76275796409327	18.8160377909964	1.000001	14.6314129301179	0.103616367932304	0.552817414890276
3-hydroxypropanoate	heterologous	organic acid	90.08	NaN	NaN	NaN	0.483767870863029	1.58795327106862	11.6509969188086	1.000001	18.7974117881137	0.0168536850852772	0.866821809111253
Adipic acid	heterologous	organic acid	146.14	NaN	NaN	NaN	0.483767870863023	0.805485056934882	20.2565595781062	1.000001	34.110932630177	0.00651616066697305	0.660965578037844
cis,cis-muconate	heterologous	organic acid	142.11	NaN	NaN	NaN	0.483767870863022	0.821612202558225	28.843522431454	1.000001	52.5110225919134	0.0117348177683411	0.851251209202034
Itaconic acid	heterologous	organic acid	130.1	NaN	NaN	NaN	0.483767870863027	1.0811678340999	1.57471500051969	1.000001	2.02529770360474	0.0827824727373998	0.862760782992424
caffeicacid	heterologous	organic acid	180.16	NaN	NaN	NaN	0.483767870863024	0.00503624030303169	0.00177893177995963	0.353225798212403	0.35489206239489	0.103616367932304	0.935538808342362
succinate	native	organic acid	118.09	0.488744722175434	1.49999850000005	960.015544041451	0.483767870863023	1.4999985	31.1264509490722	1.000001	35.7938850566408	0.0282238554468775	0.752874224677123
